X1,X2,X3,Y
6919.20144,6700.34592,6447.82032,6422.56776
6700.34592,6447.82032,6422.56776,6456.5496
6447.82032,6422.56776,6456.5496,6354.60408
6422.56776,6456.5496,6354.60408,6473.54052
6456.5496,6354.60408,6473.54052,7051.2318
6354.60408,6473.54052,7051.2318,8546.43276
6473.54052,7051.2318,8546.43276,8393.51448
7051.2318,8546.43276,8393.51448,8291.56896
8546.43276,8393.51448,8291.56896,7170.16824
8393.51448,8291.56896,7170.16824,7526.97756
8291.56896,7170.16824,7526.97756,3381.19308
7170.16824,7526.97756,3381.19308,5415.73884
7526.97756,3381.19308,5415.73884,5277.3174
3381.19308,5415.73884,5277.3174,6288.35508
5415.73884,5277.3174,6288.35508,5865.60852
5277.3174,6288.35508,5865.60852,6099.74028
6288.35508,5865.60852,6099.74028,6065.75844
5865.60852,6099.74028,6065.75844,6082.74936
6099.74028,6065.75844,6082.74936,6966.2772
6065.75844,6082.74936,6966.2772,6439.55868
6082.74936,6966.2772,6439.55868,6473.54052
6966.2772,6439.55868,6473.54052,6430.98528
6439.55868,6473.54052,6430.98528,6750.85104
6473.54052,6430.98528,6750.85104,6584.3712
6430.98528,6750.85104,6584.3712,6464.3436
6750.85104,6584.3712,6464.3436,6412.9032
6584.3712,6464.3436,6412.9032,6303.63132
6464.3436,6412.9032,6303.63132,6652.9584
6412.9032,6303.63132,6652.9584,7306.0956
6303.63132,6652.9584,7306.0956,8529.44184
6652.9584,7306.0956,8529.44184,8648.37828
7306.0956,8529.44184,8648.37828,8648.37828
8529.44184,8648.37828,8648.37828,7645.914
8648.37828,8648.37828,7645.914,7255.12284
8648.37828,7645.914,7255.12284,6327.1692
7645.914,7255.12284,6327.1692,5970.82752
7255.12284,6327.1692,5970.82752,5796.24192
6327.1692,5970.82752,5796.24192,5484.94956
5970.82752,5796.24192,5484.94956,5707.07856
5796.24192,5484.94956,5707.07856,5865.60852
5484.94956,5707.07856,5865.60852,6116.7312
5707.07856,5865.60852,6116.7312,6807.2796
5865.60852,6116.7312,6807.2796,8024.7024
6116.7312,6807.2796,8024.7024,6807.2796
6807.2796,8024.7024,6807.2796,6670.1052
8024.7024,6807.2796,6670.1052,6779.37708
6807.2796,6670.1052,6779.37708,6738.6924
6670.1052,6779.37708,6738.6924,6721.5456
6779.37708,6738.6924,6721.5456,6515.784
6738.6924,6721.5456,6515.784,6052.8204
6721.5456,6515.784,6052.8204,6350.08356
6515.784,6052.8204,6350.08356,6592.32108
6052.8204,6350.08356,6592.32108,7115.922
6350.08356,6592.32108,7115.922,8179.0236
