Country,EdLevel,YearsCodePro,Salary,DevType,LanguageHaveWorkedWith,MiscTechHaveWorkedWith,WebframeHaveWorkedWith
15,0,7.0,102974.0,0,0,0,5
8,1,4.0,29832.0,0,0,0,5
3,2,4.0,48644.0,5,0,0,4
6,1,30.0,54049.0,0,0,0,5
5,0,2.0,8656.0,4,0,2,5
15,0,23.0,171000.0,0,0,0,2
2,0,13.0,73362.0,0,0,0,5
15,0,15.0,89000.0,0,0,0,2
15,0,10.0,220000.0,0,0,2,2
15,0,13.0,170000.0,0,0,0,5
14,2,24.0,64630.0,5,0,0,5
14,0,15.0,93067.0,0,0,0,3
4,2,5.0,51888.0,5,0,0,2
2,0,15.0,75631.0,0,2,2,5
15,3,25.0,76000.0,8,0,2,5
14,1,3.0,22620.0,0,0,0,2
15,3,7.0,196950.0,0,0,2,1
15,0,2.0,69000.0,5,0,0,3
5,2,10.0,17452.0,0,0,0,0
5,0,0.5,25131.0,5,0,2,5
15,0,5.0,106000.0,0,0,0,2
4,1,1.0,32429.0,0,0,0,5
11,1,5.0,19452.0,0,0,2,5
14,0,3.0,41363.0,5,0,0,5
4,2,7.0,86478.0,0,5,2,5
15,0,1.0,65000.0,0,0,0,3
8,2,3.0,38916.0,0,0,2,4
10,3,14.0,37752.0,8,0,2,5
3,2,4.0,45401.0,8,0,2,3
14,3,9.0,94359.0,1,5,2,2
2,0,9.0,79413.0,0,0,2,2
5,2,7.0,15084.0,5,0,1,5
3,2,4.0,39996.0,0,0,0,5
15,1,6.0,33000.0,0,0,3,5
15,0,10.0,120000.0,0,0,0,2
15,0,7.0,162000.0,0,0,0,5
13,0,8.0,69036.0,7,0,4,3
2,1,11.0,60505.0,0,0,2,5
4,0,5.0,70264.0,0,0,0,3
5,0,1.0,11724.0,5,0,2,5
14,1,16.0,74970.0,0,0,0,5
8,2,3.0,77832.0,0,0,2,5
15,0,16.0,250000.0,5,0,0,0
15,3,19.0,160000.0,1,0,2,2
5,0,3.0,11169.0,7,3,4,5
7,0,6.0,25860.0,0,0,0,5
15,0,7.0,115000.0,5,0,0,5
6,2,4.0,37834.0,7,0,2,5
4,0,4.0,54480.0,0,0,0,3
15,1,7.0,78000.0,0,0,0,5
14,2,17.0,180963.0,5,0,2,5
3,3,27.0,49296.0,8,0,2,2
15,0,10.0,105600.0,0,0,0,5
15,0,14.0,95000.0,5,0,0,5
11,1,16.0,59454.0,5,0,4,5
15,2,6.0,150000.0,0,0,2,3
15,0,3.0,114000.0,5,0,0,5
15,0,9.0,90000.0,8,0,0,3
11,2,6.0,43239.0,5,0,0,0
15,0,4.0,105000.0,5,0,0,5
15,0,7.0,160000.0,0,2,2,4
5,2,11.0,41880.0,7,0,0,5
